algo,job_id,map_tasks_done,reduce_tasks_done,arrival_time,end_time,job_done
RANDOM,2,4,1,1606835982.645729,1606835987.875269,True
RANDOM,3,2,1,1606835982.879159,1606835988.055244,True
RANDOM,0,3,2,1606835981.086894,1606835989.267247,True
RANDOM,1,2,1,1606835982.498952,1606835989.671257,True
RANDOM,4,1,1,1606835985.334692,1606835990.506483,True
RANDOM,5,3,1,1606835985.663185,1606835991.771317,True
RANDOM,7,2,1,1606835988.336633,1606835993.563452,True
RANDOM,6,4,2,1606835987.48164,1606835993.879283,True
RANDOM,8,1,2,1606835988.831171,1606835994.959278,True
RANDOM,9,2,2,1606835989.685545,1606835996.94087,True
RR,2,4,1,1606837233.812217,1606837237.879283,True
RR,0,1,1,1606837233.70987,1606837238.815285,True
RR,3,3,1,1606837234.490155,1606837240.667257,True
RR,1,1,2,1606837233.773887,1606837241.839283,True
RR,4,1,1,1606837235.239393,1606837242.367462,True
RR,5,2,2,1606837238.706876,1606837245.067248,True
RR,6,3,1,1606837240.083096,1606837247.307493,True
RR,7,2,1,1606837240.760747,1606837247.883836,True
RR,8,2,2,1606837243.211618,1606837249.326508,True
RR,9,3,2,1606837243.515448,1606837251.695283,True
LL,0,2,1,1606837286.581919,1606837290.735304,True
LL,5,1,1,1606837291.875609,1606837293.998561,True
LL,1,2,2,1606837287.769842,1606837294.251254,True
LL,2,2,1,1606837288.7061,1606837295.847308,True
LL,4,4,1,1606837290.87024,1606837297.213573,True
LL,3,3,1,1606837290.112253,1606837297.318951,True
LL,6,2,1,1606837292.467186,1606837299.578335,True
LL,7,2,1,1606837292.576568,1606837299.735476,True
LL,9,1,1,1606837294.863707,1606837300.995412,True
LL,8,2,1,1606837294.691244,1606837302.785874,True
LL,3,1,1,1606837333.221715,1606837336.345614,True
LL,0,2,2,1606837331.453144,1606837337.585902,True
LL,2,4,1,1606837332.740988,1606837338.01926,True
LL,4,3,1,1606837333.971538,1606837339.473474,True
LL,1,3,2,1606837332.260278,1606837340.607527,True
LL,8,2,2,1606837340.968809,1606837345.09128,True
LL,5,4,2,1606837339.21127,1606837346.486651,True
